AA,"Alcoa, Inc.",Basic Materials,Aluminum,USA
AACC,Asset Acceptance Capital Corp.,Financial,Credit Services,USA
AAIT,iShares MSCI AC Asia Information Tech,Financial,Exchange Traded Fund,USA
AAME,Atlantic American Corp.,Financial,Life Insurance,USA
AAN,"Aaron's, Inc.",Services,Rental & Leasing Services,USA
AAON,AAON Inc.,Industrial Goods,General Building Materials,USA
AAP,Advance Auto Parts Inc.,Services,Auto Parts Stores,USA
AAPL,Apple Inc.,Consumer Goods,Electronic Equipment,USA
AAT,"American Assets Trust, Inc.",Financial,REIT - Office,USA
AAWW,Atlas Air Worldwide Holdings Inc.,Services,"Air Services, Other",USA
AAXJ,iShares MSCI All Country Asia ex Jpn Idx,Financial,Exchange Traded Fund,USA
AB,AllianceBernstein Holding L.P.,Financial,Asset Management,USA
ABAX,Abaxis Inc.,Healthcare,Diagnostic Substances,USA
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - Major,USA
ABC,AmerisourceBergen Corporation,Services,Drugs Wholesale,USA
ABCB,Ameris Bancorp,Financial,Regional - Mid-Atlantic Banks,USA
ABCD,"Cambium Learning Group, Inc.",Services,Education & Training Services,USA
ABCO,Advisory Board Co.,Services,Business Services,USA
ABCW,"Anchor BanCorp Wisconsin, Inc.",Financial,Savings & Loans,USA
ABFS,Arkansas Best Corporation,Services,Trucking,USA
ABG,"Asbury Automotive Group, Inc.",Services,Auto Dealerships,USA
ABIO,"ARCA biopharma, Inc.",Healthcare,Biotechnology,USA
ABM,ABM Industries Inc.,Services,Business Services,USA
ABMC,American Bio Medica Corp.,Healthcare,Diagnostic Substances,USA
ABMD,Abiomed Inc.,Healthcare,Medical Appliances & Equipment,USA
ABR,Arbor Realty Trust Inc.,Financial,REIT - Diversified,USA
ABT,Abbott Laboratories,Healthcare,Medical Appliances & Equipment,USA
ABTL,Autobytel Inc.,Technology,Internet Information Providers,USA
ACAD,"ACADIA Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA
ACAS,"American Capital, Ltd.",Financial,Asset Management,USA
ACAT,Arctic Cat Inc.,Consumer Goods,Recreational Vehicles,USA
ACC,American Campus Communities Inc.,Financial,REIT - Residential,USA
ACCL,Accelrys Inc.,Technology,Application Software,USA
ACCO,ACCO Brands Corporation,Consumer Goods,Office Supplies,USA
ACET,Aceto Corp.,Basic Materials,Chemicals - Major Diversified,USA
ACFC,Atlantic Coast Financial Corporation,Financial,Regional - Southeast Banks,USA
ACFN,"Acorn Energy, Inc.",Services,Technical Services,USA
ACG,"AllianceBernstein Income Fund, Inc.",Financial,Closed-End Fund - Debt,USA
ACHC,"Acadia Healthcare Company, Inc.",Healthcare,Specialized Health Services,USA
ACHN,"Achillion Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA
ACI,Arch Coal Inc.,Basic Materials,Industrial Metals & Minerals,USA
ACIM,SPDR MSCI ACWI IMI,Financial,Exchange Traded Fund,USA
ACIW,"ACI Worldwide, Inc.",Technology,Technical & System Software,USA
ACLS,Axcelis Technologies Inc.,Technology,Semiconductor Equipment & Materials,USA
ACM,AECOM Technology Corporation,Services,Technical Services,USA
ACMP,"Access Midstream Partners, L.P.",Basic Materials,Oil & Gas Refining & Marketing,USA
ACNB,ACNB Corp.,Financial,Regional - Southwest  Banks,USA
ACO,Amcol International Corp.,Basic Materials,Industrial Metals & Minerals,USA
ACOR,"Acorda Therapeutics, Inc.",Healthcare,Biotechnology,USA
ACPW,Active Power Inc.,Industrial Goods,Diversified Machinery,USA
ACRE,Ares Commercial Real Estate Corporation,Financial,REIT - Diversified,USA
ACRX,"AcelRx Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Major,USA
ACT,"Actavis, Inc.",Healthcare,Drugs - Generic,USA
ACTG,Acacia Research Corporation,Services,Research Services,USA
ACTV,"The Active Network, Inc.",Technology,Application Software,USA
ACU,Acme United Corp.,Consumer Goods,Housewares & Accessories,USA
ACUR,Acura Pharmaceuticals Inc.,Healthcare,Drug Delivery,USA
ACW,Accuride Corp.,Consumer Goods,Trucks & Other Vehicles,USA
ACWI,iShares MSCI ACWI Index,Financial,Exchange Traded Fund,USA
ACWX,iShares MSCI ACWI ex US Index,Financial,Exchange Traded Fund,USA
ACXM,Acxiom Corporation,Technology,Information Technology Services,USA
ACY,AeroCentury Corp.,Services,Rental & Leasing Services,USA
ADAT,Authentidate Holding Corp.,Technology,Healthcare Information Services,USA
ADBE,Adobe Systems Inc.,Technology,Application Software,USA
ADC,Agree Realty Corp.,Financial,Property Management,USA
ADEP,Adept Technology Inc.,Industrial Goods,Diversified Machinery,USA
